no,scientific name,abbreviation,syllable duration,peak frequency,oscillation rate
1,Assa darlingtoni,ADI,80,3200,160
2,Crinia parinsignifera,CPA,250,4300,350
3,Litoria caerulea,LCA,500,500,50
4,Litoria chloris,LCS,800,1700,220
5,Litoria fallax,LFX,430,4700,70
6,Litoria gracilenta,LGA,4100,2700,100
7,Litoria latopalmata,LLA,30,1400,2100
8,Litoria nasuta,LNA,100,2800,160
9,Litoria revelata,LRA,160,4100,70
10,Litoria rubella,LUA,500,2900,60
11,Litoria verreauxiiverreauxii,LVV,270,3100,125
12,Mixophyes fasciolatus,MFS,200,1200,140
13,Mixophyes fleayi,MFI,50,1000,140
14,Philoria kundagungan,PKN,170,430,95
15,Psudopphyne coriacea,PCA,300,2400,80
16,Pseudophyryne raveni,PRI,370,2500,45
17,Rheobatrachus silus,RSS,510,1500,60
18,Uperoleia laevigata,ULA,450,2400,150
